Name,Age,Education,Applied Job Role,Skills,Location,Status of Job Application,Experience
Aisha Reddy,22,Intermediate,Driver,"Retail, Agriculture",Maredumilli,Under Review,3
Aditi Rao,54,Intermediate,Farmer,Electrical Work,Araku Valley,Rejected,4
Ananya Reddy,51,Undergraduate,Weaver,"Technical Repair, Electrical Work, Teaching",Maredumilli,Accepted,13
Naina Naidu,58,Intermediate,Farmer,"Computer Skills, Electrical Work, Teaching",Paderu,Accepted,12
Aditi Naidu,56,High School,Mechanic,"Electrical Work, Craftsmanship",Maredumilli,Interview Scheduled,4
Siya Rao,43,High School,Clerk,Electrical Work,Araku Valley,Rejected,4
Riya Naidu,20,Diploma,Clerk,"Retail, Agriculture",Seethampeta,Under Review,0
Vihaan Reddy,36,Graduate,Teacher,"Retail, Craftsmanship, Technical Repair",Seethampeta,Pending,14
Aditi Rao,35,Graduate,Weaver,"Driving, Agriculture",Araku Valley,Pending,18
Vihaan Rao,44,Intermediate,Farmer,"Technical Repair, Craftsmanship",Chintur,Under Review,4
Naina Reddy,42,Graduate,Shopkeeper,Agriculture,Chintur,Pending,12
Riya Prasad,23,Graduate,Weaver,Driving,Maredumilli,Rejected,7
Vihaan Goud,36,Intermediate,Mechanic,"Craftsmanship, Electrical Work, Agriculture",Paderu,Pending,14
Vivaan Rao,58,Graduate,Teacher,"Electrical Work, Agriculture, Craftsmanship",Araku Valley,Under Review,0
Aisha Goud,29,Undergraduate,Farmer,"Computer Skills, Craftsmanship, Agriculture",Seethampeta,Rejected,1
Naina Goud,37,Diploma,Shopkeeper,Computer Skills,Rampachodavaram,Rejected,7
Siya Goud,60,Diploma,Clerk,"Craftsmanship, Technical Repair, Electrical Work",Rampachodavaram,Under Review,18
Riya Prasad,54,High School,Driver,"Craftsmanship, Electrical Work",Paderu,Under Review,2
Aisha Prasad,24,Intermediate,Farmer,Teaching,Maredumilli,Rejected,3
Riya Naidu,45,Intermediate,Driver,"Computer Skills, Electrical Work",Rampachodavaram,Accepted,19
Vihaan Reddy,60,Intermediate,Shopkeeper,"Driving, Teaching, Retail",Chintur,Pending,8
Vivaan Reddy,52,Undergraduate,Weaver,"Computer Skills, Agriculture",Seethampeta,Interview Scheduled,12
Aarav Prasad,59,Undergraduate,Driver,"Craftsmanship, Agriculture",Araku Valley,Pending,0
Aditi Prasad,25,Undergraduate,Driver,Retail,Paderu,Pending,17
Ananya Reddy,36,Diploma,Clerk,"Technical Repair, Craftsmanship, Computer Skills",Rampachodavaram,Pending,12
Vivaan Naidu,42,Graduate,Shopkeeper,Teaching,Paderu,Accepted,1
Aditya Goud,35,Undergraduate,Farmer,"Computer Skills, Craftsmanship, Retail",Maredumilli,Rejected,20
Naina Naidu,20,High School,Weaver,"Driving, Electrical Work",Chintur,Under Review,12
Aarav Goud,46,Graduate,Weaver,"Teaching, Retail, Electrical Work",Paderu,Rejected,6
Siya Goud,58,High School,Driver,"Driving, Teaching",Paderu,Accepted,9
Aarav Reddy,23,High School,Teacher,"Computer Skills, Craftsmanship",Paderu,Rejected,3
Vivaan Reddy,51,Diploma,Mechanic,Technical Repair,Paderu,Accepted,7
Ananya Goud,57,Diploma,Mechanic,Electrical Work,Rampachodavaram,Rejected,12
Vivaan Naidu,47,Diploma,Mechanic,"Driving, Craftsmanship, Electrical Work",Chintur,Rejected,16
Siya Goud,30,Graduate,Weaver,"Technical Repair, Driving",Chintur,Rejected,3
Aditya Reddy,38,Undergraduate,Driver,"Computer Skills, Agriculture, Technical Repair",Rampachodavaram,Pending,5
Ananya Reddy,29,High School,Farmer,"Teaching, Agriculture, Technical Repair",Seethampeta,Rejected,18
Aditi Rao,21,High School,Farmer,Agriculture,Seethampeta,Pending,4
Siya Reddy,32,High School,Electrician,"Electrical Work, Craftsmanship, Computer Skills",Seethampeta,Accepted,7
Aditi Prasad,31,Intermediate,Electrician,Agriculture,Seethampeta,Under Review,5
Vivaan Naidu,19,Undergraduate,Teacher,Agriculture,Rampachodavaram,Rejected,8
Aditi Prasad,51,High School,Mechanic,Computer Skills,Seethampeta,Rejected,9
Aarav Goud,37,Undergraduate,Teacher,"Technical Repair, Agriculture, Teaching",Rampachodavaram,Rejected,11
Aarav Naidu,24,Diploma,Shopkeeper,"Agriculture, Retail, Electrical Work",Chintur,Interview Scheduled,9
Naina Goud,58,High School,Mechanic,Teaching,Araku Valley,Under Review,15
Ananya Reddy,59,High School,Teacher,"Craftsmanship, Agriculture, Driving",Chintur,Accepted,10
Naina Rao,36,Diploma,Shopkeeper,"Retail, Craftsmanship",Paderu,Pending,18
Aarav Prasad,45,Graduate,Electrician,"Teaching, Electrical Work, Computer Skills",Seethampeta,Accepted,6
Riya Rao,60,Graduate,Weaver,Craftsmanship,Maredumilli,Under Review,3
Aditya Rao,48,Intermediate,Clerk,"Agriculture, Electrical Work, Driving",Seethampeta,Interview Scheduled,3
Vivaan Rao,58,Diploma,Mechanic,"Computer Skills, Craftsmanship, Technical Repair",Paderu,Accepted,18
Naina Goud,23,Undergraduate,Driver,Technical Repair,Seethampeta,Accepted,6
Aisha Prasad,44,High School,Teacher,"Teaching, Electrical Work",Maredumilli,Under Review,11
Riya Prasad,38,Diploma,Weaver,"Electrical Work, Agriculture, Computer Skills",Araku Valley,Pending,0
Siya Goud,51,High School,Weaver,Driving,Seethampeta,Under Review,14
Naina Goud,49,Graduate,Driver,"Agriculture, Driving",Rampachodavaram,Rejected,8
Aisha Rao,27,Undergraduate,Mechanic,"Craftsmanship, Technical Repair",Maredumilli,Pending,10
Ananya Naidu,29,Graduate,Clerk,Driving,Paderu,Rejected,17
Aarav Reddy,48,Diploma,Clerk,Craftsmanship,Rampachodavaram,Under Review,12
Naina Reddy,53,Graduate,Electrician,"Craftsmanship, Technical Repair, Driving",Chintur,Accepted,13
Riya Reddy,31,Graduate,Teacher,Retail,Maredumilli,Under Review,7
Aditya Goud,32,High School,Farmer,Electrical Work,Seethampeta,Interview Scheduled,14
Aditya Naidu,39,Undergraduate,Clerk,"Driving, Agriculture, Technical Repair",Araku Valley,Pending,5
Siya Reddy,42,Intermediate,Driver,"Craftsmanship, Retail, Driving",Araku Valley,Accepted,10
Aditi Prasad,42,Intermediate,Clerk,"Retail, Computer Skills, Electrical Work",Rampachodavaram,Under Review,10
Siya Goud,48,High School,Farmer,"Craftsmanship, Driving, Technical Repair",Maredumilli,Pending,11
Naina Goud,49,Graduate,Shopkeeper,"Computer Skills, Driving",Maredumilli,Pending,5
Aditya Naidu,22,Intermediate,Mechanic,"Technical Repair, Electrical Work, Craftsmanship",Rampachodavaram,Interview Scheduled,14
Riya Reddy,57,Intermediate,Farmer,Computer Skills,Seethampeta,Under Review,5
Vivaan Reddy,27,Intermediate,Teacher,Computer Skills,Araku Valley,Rejected,5
Siya Reddy,32,High School,Shopkeeper,"Electrical Work, Agriculture",Rampachodavaram,Under Review,1
Riya Goud,30,Diploma,Electrician,"Agriculture, Driving, Computer Skills",Araku Valley,Rejected,10
Aditya Prasad,36,Diploma,Clerk,Teaching,Seethampeta,Accepted,5
Siya Prasad,27,Graduate,Driver,Technical Repair,Araku Valley,Interview Scheduled,4
Siya Reddy,38,Graduate,Electrician,"Driving, Retail, Computer Skills",Seethampeta,Pending,9
Aisha Rao,35,Graduate,Farmer,"Computer Skills, Retail, Agriculture",Maredumilli,Interview Scheduled,7
Vivaan Reddy,18,Undergraduate,Teacher,"Technical Repair, Driving",Paderu,Under Review,8
Aditya Naidu,54,High School,Teacher,"Retail, Teaching, Driving",Chintur,Rejected,14
Ananya Goud,60,Intermediate,Electrician,"Driving, Computer Skills, Technical Repair",Paderu,Rejected,2
Aarav Prasad,20,High School,Farmer,Driving,Seethampeta,Interview Scheduled,17
Vihaan Reddy,58,Diploma,Teacher,"Craftsmanship, Technical Repair, Computer Skills",Maredumilli,Interview Scheduled,20
Aditya Reddy,56,Graduate,Clerk,"Retail, Craftsmanship",Chintur,Under Review,5
Vihaan Prasad,38,Diploma,Electrician,"Teaching, Craftsmanship",Maredumilli,Interview Scheduled,20
Naina Goud,56,Graduate,Electrician,Agriculture,Maredumilli,Interview Scheduled,17
Aarav Goud,18,High School,Farmer,"Teaching, Craftsmanship",Seethampeta,Pending,3
Aditya Rao,51,Intermediate,Clerk,Retail,Rampachodavaram,Accepted,20
Aditya Rao,28,Diploma,Mechanic,"Computer Skills, Craftsmanship, Technical Repair",Seethampeta,Rejected,3
Aditi Prasad,20,Undergraduate,Teacher,"Driving, Technical Repair",Paderu,Accepted,3
Naina Prasad,20,Intermediate,Electrician,Electrical Work,Araku Valley,Pending,4
Aisha Goud,44,Intermediate,Farmer,"Retail, Electrical Work, Craftsmanship",Seethampeta,Pending,15
Riya Reddy,18,Diploma,Driver,"Electrical Work, Driving, Craftsmanship",Seethampeta,Under Review,10
Ananya Goud,18,High School,Weaver,Electrical Work,Seethampeta,Accepted,10
Aarav Naidu,24,Diploma,Shopkeeper,Retail,Araku Valley,Interview Scheduled,3
Siya Naidu,37,Diploma,Driver,Computer Skills,Maredumilli,Rejected,3
Riya Goud,59,High School,Driver,"Teaching, Computer Skills, Craftsmanship",Araku Valley,Rejected,10
Aarav Rao,49,Graduate,Teacher,"Computer Skills, Technical Repair, Retail",Paderu,Pending,0
Siya Goud,58,Diploma,Shopkeeper,Retail,Araku Valley,Pending,7
Aarav Reddy,55,Intermediate,Mechanic,"Teaching, Agriculture, Retail",Rampachodavaram,Interview Scheduled,19
Vihaan Reddy,58,Graduate,Shopkeeper,Craftsmanship,Maredumilli,Under Review,7
Naina Rao,39,High School,Clerk,Craftsmanship,Araku Valley,Under Review,4
Aditya Rao,25,Intermediate,Mechanic,"Computer Skills, Teaching, Retail",Araku Valley,Under Review,8
Aditi Rao,25,Undergraduate,Clerk,"Agriculture, Technical Repair",Rampachodavaram,Interview Scheduled,15
Naina Goud,38,High School,Electrician,"Agriculture, Computer Skills, Teaching",Rampachodavaram,Rejected,9
Aisha Prasad,57,Intermediate,Driver,"Driving, Agriculture, Retail",Paderu,Under Review,13
Vihaan Reddy,27,Diploma,Clerk,Technical Repair,Paderu,Pending,2
Aisha Reddy,36,Graduate,Mechanic,Agriculture,Rampachodavaram,Rejected,17
Naina Rao,41,Graduate,Mechanic,Retail,Paderu,Accepted,0
Vivaan Rao,43,Intermediate,Shopkeeper,"Electrical Work, Computer Skills",Paderu,Interview Scheduled,13
Ananya Goud,53,Intermediate,Weaver,Computer Skills,Maredumilli,Accepted,0
Ananya Rao,47,Diploma,Mechanic,"Craftsmanship, Computer Skills",Paderu,Accepted,13
Riya Goud,49,High School,Shopkeeper,"Agriculture, Craftsmanship",Seethampeta,Accepted,16
Ananya Goud,23,Diploma,Farmer,"Retail, Agriculture",Maredumilli,Accepted,18
Aisha Prasad,26,Diploma,Electrician,Teaching,Araku Valley,Interview Scheduled,18
Naina Reddy,25,Intermediate,Teacher,"Craftsmanship, Technical Repair",Paderu,Rejected,12
Vivaan Prasad,36,Graduate,Electrician,"Retail, Technical Repair",Araku Valley,Under Review,3
Naina Rao,48,High School,Driver,"Agriculture, Computer Skills, Retail",Paderu,Pending,4
Siya Prasad,34,Undergraduate,Weaver,"Agriculture, Craftsmanship, Technical Repair",Maredumilli,Interview Scheduled,18
Aisha Reddy,32,Diploma,Farmer,Computer Skills,Araku Valley,Pending,12
Ananya Prasad,24,Intermediate,Mechanic,Technical Repair,Maredumilli,Pending,12
Vihaan Rao,37,High School,Driver,Computer Skills,Rampachodavaram,Under Review,0
Aarav Reddy,31,Graduate,Clerk,"Agriculture, Craftsmanship",Chintur,Accepted,12
Riya Prasad,22,Undergraduate,Electrician,"Technical Repair, Agriculture",Chintur,Pending,7
Aisha Goud,27,High School,Shopkeeper,"Computer Skills, Craftsmanship",Paderu,Under Review,18
Aditi Reddy,48,Diploma,Driver,Technical Repair,Seethampeta,Interview Scheduled,5
Aditya Goud,50,Undergraduate,Clerk,"Technical Repair, Teaching, Computer Skills",Chintur,Rejected,5
Aisha Naidu,35,High School,Driver,"Technical Repair, Teaching",Rampachodavaram,Rejected,15
Aarav Naidu,23,Undergraduate,Farmer,Technical Repair,Maredumilli,Rejected,19
Vihaan Naidu,47,High School,Clerk,Retail,Chintur,Interview Scheduled,10
Aarav Goud,59,Undergraduate,Weaver,Retail,Maredumilli,Pending,19
Riya Rao,46,High School,Weaver,Computer Skills,Chintur,Rejected,0
Siya Reddy,27,Intermediate,Weaver,"Computer Skills, Technical Repair, Electrical Work",Paderu,Accepted,13
Ananya Naidu,59,High School,Teacher,"Teaching, Computer Skills, Agriculture",Chintur,Pending,14
Ananya Reddy,34,High School,Weaver,Retail,Araku Valley,Accepted,13
Riya Prasad,44,Undergraduate,Weaver,"Technical Repair, Computer Skills",Araku Valley,Accepted,4
Vivaan Reddy,24,Undergraduate,Driver,"Agriculture, Teaching, Technical Repair",Araku Valley,Rejected,15
Riya Naidu,21,Diploma,Shopkeeper,"Electrical Work, Driving",Chintur,Pending,13
Vihaan Reddy,32,Intermediate,Mechanic,Driving,Maredumilli,Pending,17
Aarav Naidu,26,High School,Electrician,"Computer Skills, Driving, Craftsmanship",Araku Valley,Interview Scheduled,8
Riya Goud,22,Diploma,Driver,Craftsmanship,Paderu,Under Review,12
Vivaan Naidu,46,Graduate,Driver,"Technical Repair, Craftsmanship",Rampachodavaram,Pending,9
Naina Rao,34,Intermediate,Electrician,Computer Skills,Chintur,Pending,19
Aarav Goud,60,Undergraduate,Teacher,Craftsmanship,Maredumilli,Interview Scheduled,2
Aditya Goud,39,Graduate,Farmer,"Craftsmanship, Agriculture, Computer Skills",Seethampeta,Pending,20
Aditya Rao,57,Graduate,Mechanic,Agriculture,Chintur,Pending,17
Ananya Rao,42,Diploma,Electrician,"Technical Repair, Craftsmanship",Paderu,Pending,12
Naina Prasad,18,Graduate,Mechanic,"Technical Repair, Retail, Teaching",Chintur,Rejected,13
Aarav Goud,23,High School,Teacher,Teaching,Maredumilli,Under Review,12
Aditya Naidu,58,Intermediate,Farmer,Teaching,Paderu,Pending,20
Vivaan Prasad,39,High School,Driver,Electrical Work,Chintur,Interview Scheduled,4
Riya Goud,33,Undergraduate,Farmer,Driving,Rampachodavaram,Accepted,5
Siya Naidu,26,Intermediate,Mechanic,"Driving, Agriculture",Seethampeta,Pending,9
Vihaan Rao,39,High School,Electrician,"Teaching, Retail",Araku Valley,Rejected,18
Aarav Prasad,32,High School,Mechanic,Retail,Paderu,Accepted,10
Siya Reddy,26,Graduate,Farmer,Agriculture,Seethampeta,Rejected,20
Aditya Naidu,33,Intermediate,Mechanic,"Electrical Work, Craftsmanship, Computer Skills",Paderu,Accepted,11
Vihaan Reddy,34,High School,Electrician,Technical Repair,Seethampeta,Pending,9
Riya Rao,60,Undergraduate,Driver,Retail,Paderu,Accepted,7
Siya Rao,37,High School,Teacher,"Technical Repair, Electrical Work, Computer Skills",Maredumilli,Under Review,4
Aisha Rao,18,Graduate,Farmer,Electrical Work,Chintur,Interview Scheduled,0
Siya Prasad,34,Diploma,Shopkeeper,"Technical Repair, Driving, Agriculture",Paderu,Under Review,5
Riya Naidu,23,Diploma,Clerk,"Teaching, Agriculture, Retail",Maredumilli,Rejected,19
Aditi Naidu,50,Diploma,Mechanic,"Driving, Craftsmanship, Technical Repair",Maredumilli,Interview Scheduled,8
Riya Reddy,32,High School,Shopkeeper,Teaching,Rampachodavaram,Interview Scheduled,20
Siya Prasad,45,Intermediate,Teacher,Technical Repair,Seethampeta,Accepted,7
Siya Reddy,35,Undergraduate,Farmer,"Retail, Computer Skills",Paderu,Pending,3
Aisha Naidu,26,Graduate,Driver,"Electrical Work, Technical Repair",Rampachodavaram,Rejected,3
Vihaan Rao,27,Undergraduate,Weaver,Retail,Araku Valley,Accepted,11
Aisha Goud,37,Intermediate,Shopkeeper,"Driving, Electrical Work, Computer Skills",Rampachodavaram,Interview Scheduled,16
Vivaan Reddy,29,Intermediate,Weaver,Driving,Chintur,Interview Scheduled,11
Aarav Rao,30,Diploma,Shopkeeper,"Agriculture, Teaching, Technical Repair",Paderu,Interview Scheduled,7
Aditi Reddy,55,Intermediate,Weaver,Technical Repair,Maredumilli,Interview Scheduled,2
Naina Goud,57,Diploma,Clerk,"Retail, Agriculture, Teaching",Rampachodavaram,Rejected,12
Aarav Goud,41,High School,Shopkeeper,"Agriculture, Computer Skills, Electrical Work",Seethampeta,Pending,10
Aarav Reddy,55,Diploma,Farmer,Electrical Work,Seethampeta,Rejected,13
Aisha Reddy,42,Undergraduate,Clerk,"Agriculture, Retail",Paderu,Interview Scheduled,12
Riya Goud,48,High School,Shopkeeper,Driving,Maredumilli,Under Review,11
Vihaan Goud,25,Graduate,Clerk,"Driving, Electrical Work",Chintur,Interview Scheduled,8
Vihaan Reddy,40,Undergraduate,Weaver,"Retail, Teaching",Seethampeta,Pending,12
Aditya Goud,19,High School,Clerk,"Driving, Computer Skills, Retail",Seethampeta,Rejected,4
Ananya Rao,23,Diploma,Mechanic,"Technical Repair, Computer Skills, Teaching",Seethampeta,Rejected,14
Aditi Goud,51,High School,Mechanic,"Retail, Electrical Work, Technical Repair",Seethampeta,Pending,16
Riya Rao,42,Graduate,Teacher,"Teaching, Driving",Araku Valley,Accepted,16
Aditi Rao,53,Intermediate,Shopkeeper,Electrical Work,Rampachodavaram,Under Review,12
Naina Prasad,42,Undergraduate,Mechanic,"Driving, Computer Skills",Paderu,Interview Scheduled,9
Vihaan Prasad,39,Undergraduate,Electrician,Craftsmanship,Seethampeta,Interview Scheduled,11
Aditi Prasad,22,Graduate,Farmer,Teaching,Paderu,Accepted,2
Riya Naidu,56,High School,Clerk,Driving,Paderu,Pending,14
Naina Reddy,41,Undergraduate,Shopkeeper,Teaching,Maredumilli,Pending,11
Vihaan Naidu,37,Diploma,Mechanic,"Electrical Work, Driving",Seethampeta,Under Review,2
Aarav Reddy,57,Diploma,Teacher,Retail,Paderu,Interview Scheduled,6
Siya Naidu,42,High School,Shopkeeper,Retail,Rampachodavaram,Pending,7
Siya Prasad,33,High School,Clerk,Teaching,Paderu,Accepted,11
Siya Prasad,25,Diploma,Shopkeeper,"Electrical Work, Driving, Craftsmanship",Paderu,Interview Scheduled,11
Aarav Naidu,51,High School,Electrician,Retail,Seethampeta,Pending,18
Aditya Naidu,58,Diploma,Teacher,Technical Repair,Seethampeta,Under Review,1
Riya Rao,59,Graduate,Weaver,"Teaching, Retail, Technical Repair",Chintur,Accepted,13
Naina Naidu,60,Graduate,Weaver,"Electrical Work, Retail",Chintur,Pending,6
Aisha Prasad,39,Graduate,Electrician,"Electrical Work, Agriculture",Seethampeta,Interview Scheduled,2
Aditi Goud,25,Diploma,Clerk,"Technical Repair, Craftsmanship, Computer Skills",Chintur,Accepted,2
Naina Reddy,36,High School,Shopkeeper,"Technical Repair, Retail, Agriculture",Rampachodavaram,Accepted,1
Siya Reddy,28,Intermediate,Farmer,"Electrical Work, Technical Repair, Retail",Maredumilli,Under Review,9
Aarav Rao,44,High School,Mechanic,"Retail, Craftsmanship, Agriculture",Seethampeta,Under Review,11
Aisha Naidu,18,Graduate,Teacher,Teaching,Paderu,Accepted,2
Naina Goud,21,Undergraduate,Teacher,"Technical Repair, Retail, Driving",Seethampeta,Rejected,1
Aisha Goud,18,Graduate,Driver,"Electrical Work, Teaching, Agriculture",Araku Valley,Interview Scheduled,11
Ananya Rao,59,Undergraduate,Driver,"Retail, Electrical Work, Craftsmanship",Rampachodavaram,Under Review,19
Aditi Naidu,53,Diploma,Electrician,"Computer Skills, Technical Repair",Maredumilli,Pending,10
Vihaan Goud,36,High School,Clerk,"Agriculture, Teaching, Retail",Maredumilli,Interview Scheduled,3
Siya Reddy,40,High School,Electrician,"Electrical Work, Agriculture",Araku Valley,Accepted,1
Vivaan Reddy,23,Undergraduate,Clerk,Computer Skills,Maredumilli,Accepted,10
Aarav Prasad,28,Intermediate,Clerk,Computer Skills,Paderu,Pending,15
Riya Prasad,54,Diploma,Farmer,"Technical Repair, Teaching",Maredumilli,Pending,15
Aditi Goud,31,High School,Teacher,"Driving, Teaching, Computer Skills",Rampachodavaram,Interview Scheduled,18
Riya Rao,57,Intermediate,Electrician,Technical Repair,Rampachodavaram,Under Review,11
Aarav Reddy,51,High School,Driver,"Technical Repair, Electrical Work, Retail",Araku Valley,Under Review,5
Riya Prasad,30,High School,Teacher,"Electrical Work, Driving, Teaching",Paderu,Accepted,6
Aarav Naidu,48,Undergraduate,Weaver,Driving,Rampachodavaram,Rejected,14
Aarav Naidu,45,Diploma,Driver,"Driving, Craftsmanship",Paderu,Rejected,18
Siya Goud,26,High School,Electrician,Driving,Seethampeta,Under Review,4
Naina Rao,24,High School,Shopkeeper,"Driving, Computer Skills, Teaching",Chintur,Interview Scheduled,6
Riya Rao,43,High School,Driver,"Teaching, Craftsmanship",Paderu,Under Review,8
Aarav Naidu,22,High School,Farmer,"Technical Repair, Craftsmanship",Seethampeta,Accepted,15
Vivaan Naidu,42,Graduate,Weaver,"Electrical Work, Retail",Seethampeta,Under Review,3
Ananya Prasad,39,Graduate,Clerk,Computer Skills,Araku Valley,Rejected,16
Siya Naidu,58,High School,Mechanic,"Teaching, Craftsmanship",Seethampeta,Pending,8
Vivaan Rao,38,Diploma,Mechanic,"Teaching, Craftsmanship, Computer Skills",Chintur,Interview Scheduled,16
Vihaan Naidu,49,Intermediate,Shopkeeper,Computer Skills,Maredumilli,Under Review,11
Vihaan Goud,48,Diploma,Clerk,Driving,Maredumilli,Interview Scheduled,12
Aisha Naidu,28,Graduate,Driver,Retail,Maredumilli,Interview Scheduled,17
Aisha Prasad,51,Undergraduate,Driver,"Electrical Work, Computer Skills",Chintur,Accepted,1
Ananya Reddy,34,Diploma,Electrician,"Electrical Work, Computer Skills, Agriculture",Seethampeta,Accepted,15
Naina Naidu,19,Diploma,Farmer,"Computer Skills, Agriculture",Paderu,Pending,3
Siya Goud,46,Undergraduate,Teacher,"Retail, Craftsmanship, Agriculture",Rampachodavaram,Accepted,12
Ananya Naidu,35,Undergraduate,Driver,"Craftsmanship, Driving",Chintur,Interview Scheduled,19
Aisha Goud,55,Undergraduate,Farmer,"Agriculture, Retail, Technical Repair",Seethampeta,Interview Scheduled,14
Vivaan Goud,29,Diploma,Electrician,"Agriculture, Craftsmanship, Driving",Maredumilli,Interview Scheduled,14
Siya Reddy,60,Graduate,Clerk,"Driving, Retail, Computer Skills",Rampachodavaram,Pending,15
Riya Goud,51,Diploma,Weaver,"Retail, Computer Skills, Technical Repair",Rampachodavaram,Under Review,10
Aisha Goud,34,Intermediate,Teacher,"Agriculture, Craftsmanship, Technical Repair",Paderu,Accepted,7
Aisha Naidu,21,Graduate,Teacher,"Technical Repair, Computer Skills, Craftsmanship",Paderu,Interview Scheduled,15
Vivaan Reddy,47,High School,Weaver,"Teaching, Electrical Work",Paderu,Rejected,1
Vivaan Prasad,28,High School,Electrician,Teaching,Chintur,Under Review,3
Naina Reddy,18,Intermediate,Teacher,Driving,Paderu,Pending,13
Aditi Rao,43,High School,Weaver,"Technical Repair, Agriculture, Electrical Work",Maredumilli,Under Review,11
Aisha Goud,26,Diploma,Teacher,"Retail, Computer Skills",Araku Valley,Pending,4
Aditi Naidu,32,Intermediate,Driver,Craftsmanship,Maredumilli,Pending,11
Naina Naidu,58,Intermediate,Farmer,"Craftsmanship, Computer Skills, Agriculture",Chintur,Pending,3
Riya Prasad,51,Undergraduate,Teacher,"Retail, Teaching",Seethampeta,Accepted,9
Vihaan Naidu,23,Undergraduate,Weaver,"Agriculture, Electrical Work, Technical Repair",Chintur,Under Review,11
Vivaan Reddy,49,High School,Driver,"Driving, Electrical Work",Chintur,Under Review,12
Naina Rao,42,Graduate,Driver,Retail,Rampachodavaram,Accepted,8
